,project name,max_pr,owner
0,ansible,31284,ansible
1,blaze,1029,ContinuumIO
2,manticore,724,trailofbits
3,b2share,529,EUDAT-B2SHARE
4,streamalert,624,airbnb
5,pandas,8986,pandas-dev
6,astropy,7850,astropy
7,django-shop,657,awesto
8,LinuxGSM,821,GameServerManagers
9,ensime-vim,328,ensime
10,maltrieve,135,krmaxwell
11,terra-terminal,78,Sixdsn
12,inspire-next,2350,inspirehep
13,SoCo,224,SoCo
14,osmaxx,292,geometalab
15,eq-survey-runner,1070,ONSdigital
16,tribler,2845,Tribler
