,Unnamed: 0,line number,filename_x,buggy commit,bug_inducing_commit,buggy author,author experience,project progress,timedelta (month),id,filename_y,fix commit,type error lines,directory,issue id,project name,owner,reviewer_count
0,0,30,lib/ansible/module_utils/iosxr.py,ec9582f,eb1453a366403d8f95208517484f632b1da09778,Peter Sprygada,616,28721,43,4,lib/ansible/modules/network/iosxr/iosxr_system.py,fd6429f,262,4/ansible,22315,ansible,ansible,24
1,1,69,lib/ansible/module_utils/iosxr.py,ec9582f,7c6916f8d1af7fa6252aee7f7af73a5250c754a8,Peter Sprygada,557,27989,42,4,lib/ansible/modules/network/iosxr/iosxr_system.py,fd6429f,262,4/ansible,22315,ansible,ansible,21
2,2,85,lib/ansible/module_utils/iosxr.py,ec9582f,7c6916f8d1af7fa6252aee7f7af73a5250c754a8,Peter Sprygada,557,27989,42,4,lib/ansible/modules/network/iosxr/iosxr_system.py,fd6429f,262,4/ansible,22315,ansible,ansible,21
3,3,261,lib/ansible/modules/network/iosxr/iosxr_system.py,ec9582f,4cdb266dac852859f695b0555cbe49e58343e69a,Peter Sprygada,558,28007,42,4,lib/ansible/modules/network/iosxr/iosxr_system.py,fd6429f,262,4/ansible,22315,ansible,ansible,21
4,4,263,lib/ansible/modules/network/iosxr/iosxr_system.py,ec9582f,4cdb266dac852859f695b0555cbe49e58343e69a,Peter Sprygada,558,28007,42,4,lib/ansible/modules/network/iosxr/iosxr_system.py,fd6429f,262,4/ansible,22315,ansible,ansible,21
5,5,264,lib/ansible/modules/network/iosxr/iosxr_system.py,ec9582f,4cdb266dac852859f695b0555cbe49e58343e69a,Peter Sprygada,558,28007,42,4,lib/ansible/modules/network/iosxr/iosxr_system.py,fd6429f,262,4/ansible,22315,ansible,ansible,21
6,6,43,examples/prediction/category_prediction/run.py,dce7087,f297d70a9bb2d36ea3585cb6e6acd95921e3d082,passiweinberger,0,4148,0,16,examples/prediction/category_prediction/run.py,aecef28,"91, 93",16/nupic,2133,nupic,numenta,0
7,7,16,lendingbot.py,40b8682,40b86822b71fb4d4b9c5778832dfd2bebb6d3175,Evan,49,169,7,34,lendingbot.py,00ba501,58,34/MikaLendingBot,180,MikaLendingBot,BitBotFactory,0
8,8,42,lendingbot.py,40b8682,951f9b6276c2e31d7179199b3247f74ea9f2cc7a,Evan,39,145,6,34,lendingbot.py,00ba501,58,34/MikaLendingBot,180,MikaLendingBot,BitBotFactory,0
9,9,64,modules/Configuration.py,40b8682,951f9b6276c2e31d7179199b3247f74ea9f2cc7a,Evan,39,145,6,34,lendingbot.py,00ba501,58,34/MikaLendingBot,180,MikaLendingBot,BitBotFactory,0
