,0_x,a,c,0_y,s,0,l
119,119,nansencenter-nansat,34,119,149,119,15411
120,120,renisac-pdnssdk-py,5,120,3,120,1140
121,121,SUSE-azurectl,7,121,9,121,12038
122,122,librosa-librosa,78,122,4050,122,16806
123,123,coala-analyzer-coala,494,123,3091,123,34688
124,124,Sixdsn-terra-terminal,8,124,7,124,5690
125,125,tomchristie-django-rest-framework,1133,125,19264,125,71500
126,126,ilogue-niprov,6,126,9,126,8195
127,127,RIOT-OS-RIOT,407,127,3600,127,1422950
128,128,Alignak-monitoring-alignak,186,128,85,128,76380
129,129,mitodl-lore,18,129,18,129,285226
130,130,mozilla-normandy,49,130,45,130,29465
131,131,christabor-flask_jsondash,6,131,3121,131,156515
132,132,mantidproject-mantid,251,132,148,132,2697357
133,133,neutrons-FastGR,16,133,0,133,67665
134,134,FX31337-FX-BT-Scripts,19,134,19,134,2899
135,135,ament-ament_tools,24,135,8,135,2
136,136,liqd-a4-meinberlin,24,136,19,136,51459
137,137,unt-libraries-pyuntl,7,137,2,137,4894
138,138,cloudant-python-cloudant,30,138,155,138,12843
139,139,gem-oq-engine,93,139,192,139,607525
140,140,torchbox-wagtail,530,140,9653,140,294330
141,141,faneshion-MatchZoo,47,141,3262,141,25628
142,142,gitcoinco-web,264,142,1029,142,1490351
143,143,mlsecproject-combine,11,143,602,143,1160
144,144,CentOS-PaaS-SIG-linchpin,59,144,106,144,36938
145,145,neuropoly-spinalcordtoolbox,76,145,108,145,74967
146,146,Jumpscale-go-raml,22,146,125,146,1028299
147,147,ManageIQ-integration_tests,182,147,64,147,166710
148,148,BD2KGenomics-toil-scripts,16,148,31,148,4695
149,149,GoogleCloudPlatform-gcloud-python,311,149,3405,149,481
150,150,codeforamerica-pittsburgh-purchasing-suite,11,150,16,150,19997
151,151,QISKit-qiskit-sdk-py,255,151,2884,151,105193
152,152,mkdocs-mkdocs,179,152,11055,152,24740
153,153,buildbot-buildbot,757,153,4485,153,181971
154,154,tildaslash-RatticWeb,27,154,480,154,26647
155,155,asciidisco-plugin.video.netflix,47,155,1216,155,10103
156,156,inspirehep-inspire-next,79,156,43,156,657591
157,157,project-rig-rig,5,157,1,157,25577
158,158,wong2-pick,11,158,356,158,331
159,159,hydroshare-hydroshare,77,159,113,159,310733
160,160,apache-incubator-superset,530,160,31241,160,277160
161,161,Microsoft-PTVS,84,161,2301,161,943647
162,162,ufo-kit-concert,15,162,8,162,9818
163,163,apache-incubator-mxnet,962,163,19103,163,405628
164,164,nvbn-thefuck,167,164,57170,164,10583
165,165,dseuss-mpnum,2,165,40,165,5866
166,166,miki725-django-rest-framework-bulk,8,166,450,166,989
167,167,zenodo-zenodo,57,167,480,167,48547
168,168,PyAr-fades,32,168,178,168,16834
169,169,phoebe-project-phoebe2,28,169,33,169,55627
170,170,metomi-rose,44,170,43,170,65687
171,171,ContinuumIO-odo,43,171,925,171,12051
172,172,Cog-Creators-Red-DiscordBot,111,172,1876,172,289177
173,173,QuantConnect-Lean,170,173,4118,173,398981
174,174,dbcli-vcli,42,174,74,174,5786
175,175,SoCo-SoCo,74,175,1170,175,14564
176,176,geometalab-osmaxx,17,176,21,176,92165
177,177,ONSdigital-eq-survey-runner,78,177,17,177,183776
178,178,pixelated-pixelated-user-agent,94,178,158,178,31232
179,179,flask-restful-flask-restful,157,179,5807,179,5967
180,180,SanaMobile-sana.protocol_builder,12,180,6,180,14087
181,181,jupyter-jupyterlab,414,181,10436,181,248330
182,182,postmarketOS-pmbootstrap,109,182,1003,182,35430
183,183,raiden-network-raiden,103,183,1774,183,78455
184,184,pr-omethe-us-PyKED,5,184,10,184,11648
185,185,freedomofpress-securedrop,213,185,2950,185,61996
186,186,poldracklab-fmriprep,77,186,352,186,114547
187,187,cgstudiomap-cgstudiomap,3,187,2,187,5735321
188,188,boundlessgeo-qgis-webappbuilder-plugin,10,188,18,188,293882
189,189,clab-dynet,153,189,3143,189,64192
190,190,mesonbuild-meson,601,190,2988,190,100764
191,191,basho-riak-python-client,93,191,323,191,19179
192,192,dirk-thomas-vcstool,21,192,133,192,3572
193,193,Ex-Mente-auxi.0,8,193,7,193,19832
194,194,associatedpress-geomancer,6,194,58,194,3324
195,195,Difrex-surok,6,195,3,195,3366
196,196,CartoDB-cartoframes,49,196,199,196,18867
197,197,SciTools-cartopy,96,197,809,197,16826
198,198,SonarOpenCommunity-sonar-cxx,67,198,613,198,182560
199,199,CSC-IT-Center-for-Science-pouta-blueprints,17,199,8,199,34974
200,200,lbryio-lbry,100,200,4864,200,67986
201,201,influxdata-telegraf,842,201,9395,201,282824
202,202,conan-io-conan,251,202,4472,202,85161
203,203,ray-project-ray,410,203,13812,203,305278
204,204,frictionlessdata-tabulator-py,25,204,196,204,6807
205,205,ImageEngine-gaffer,48,205,645,205,325819
206,206,pgmpy-pgmpy,94,206,1634,206,24904
207,207,mitmproxy-mitmproxy,385,207,20644,207,86786
208,208,canihavesomecoffee-sample-platform,30,208,18,208,41424
209,209,biocore-qiime,86,209,269,209,94132
