,owner,project name,issue id,clone_link,clone_links
93,MongoEngine,mongoengine,1852,,https://github.com/MongoEngine/mongoengine.git
94,KhronosGroup,SPIRV-Cross,545,,https://github.com/KhronosGroup/SPIRV-Cross.git
95,projectatomic,commissaire-http,18,,https://github.com/projectatomic/commissaire-http.git
96,frappe,erpnext,11989,,https://github.com/frappe/erpnext.git
97,ansible,ansible,30992,,https://github.com/ansible/ansible.git
98,simphony,simphony-mayavi,47,,https://github.com/simphony/simphony-mayavi.git
99,GameServerManagers,LinuxGSM,964,,https://github.com/GameServerManagers/LinuxGSM.git
100,ansible,ansible,39830,,https://github.com/ansible/ansible.git
101,jupyter,nbgrader,134,,https://github.com/jupyter/nbgrader.git
102,jupyter,nbgrader,190,,https://github.com/jupyter/nbgrader.git
103,pytest-dev,pytest,3819,,https://github.com/pytest-dev/pytest.git
104,ciudadanointeligente,write-it,1012,,https://github.com/ciudadanointeligente/write-it.git
105,andycasey,ads,82,,https://github.com/andycasey/ads.git
106,DMSC-Instrument-Data,lewis,243,,https://github.com/DMSC-Instrument-Data/lewis.git
107,ansible,ansible,26522,,https://github.com/ansible/ansible.git
108,ultrabug,py3status,241,,https://github.com/ultrabug/py3status.git
109,ensime,ensime-vim,339,,https://github.com/ensime/ensime-vim.git
110,CenterForOpenScience,osf.io,3296,,https://github.com/CenterForOpenScience/osf.io.git
111,pytroll,satpy,377,,https://github.com/pytroll/satpy.git
112,ansible,ansible,23455,,https://github.com/ansible/ansible.git
113,astropy,astropy,7762,,https://github.com/astropy/astropy.git
114,ansible,ansible,17441,,https://github.com/ansible/ansible.git
115,choderalab,openpathsampling,222,,https://github.com/choderalab/openpathsampling.git
116,ansible,ansible,40668,,https://github.com/ansible/ansible.git
117,ansible,ansible,11920,,https://github.com/ansible/ansible.git
118,ansible,ansible,27643,,https://github.com/ansible/ansible.git
119,ansible,ansible,22323,,https://github.com/ansible/ansible.git
120,swcarpentry,amy,831,,https://github.com/swcarpentry/amy.git
121,airbnb,streamalert,523,,https://github.com/airbnb/streamalert.git
122,ansible,ansible,9904,,https://github.com/ansible/ansible.git
123,ansible,ansible,19521,,https://github.com/ansible/ansible.git
124,chainer,chainer,5347,,https://github.com/chainer/chainer.git
125,pymedusa,Medusa,5167,,https://github.com/pymedusa/Medusa.git
126,strands-project,aaf_deployment,56,,https://github.com/strands-project/aaf_deployment.git
127,ansible,ansible,36412,,https://github.com/ansible/ansible.git
128,radremedy,radremedy,221,,https://github.com/radremedy/radremedy.git
129,LCAS,zoidbot,11,,https://github.com/LCAS/zoidbot.git
130,kumoru,torment,5,,https://github.com/kumoru/torment.git
131,pandas-dev,pandas,21426,,https://github.com/pandas-dev/pandas.git
132,ansible,ansible-container,464,,https://github.com/ansible/ansible-container.git
133,pandas-dev,pandas,9351,,https://github.com/pandas-dev/pandas.git
134,saltstack,salt,47921,,https://github.com/saltstack/salt.git
135,ansible,ansible,23263,,https://github.com/ansible/ansible.git
136,ansible,ansible,43016,,https://github.com/ansible/ansible.git
137,biocore,qiita,1179,,https://github.com/biocore/qiita.git
138,openstenoproject,plover,991,,https://github.com/openstenoproject/plover.git
139,saltstack,salt,25010,,https://github.com/saltstack/salt.git
140,andreas-h,emiprep,23,,https://github.com/andreas-h/emiprep.git
141,andycasey,ads,60,,https://github.com/andycasey/ads.git
142,wal-e,wal-e,322,,https://github.com/wal-e/wal-e.git
143,krmaxwell,maltrieve,141,,https://github.com/krmaxwell/maltrieve.git
