,time,color,token,issue_link,project,repo
72,1:16,r,-1,https://github.com/ansible/ansible-modules-core/issues/1602,ansible,ansible-modules-core
73,0:34,r,-1,https://github.com/bokeh/bokeh/issues/7462,bokeh,bokeh
74,2:42,r,-1,https://github.com/vandenheuvel/tribler/issues/228,vandenheuvel,tribler
75,19:17,g,9,https://github.com/translate/pootle/issues/5023,translate,pootle
76,2:08,r,-1,https://github.com/ansible/ansible/issues/10938,ansible,ansible
77,2:02,r,-1,https://github.com/JrGoodle/clowder/issues/260,JrGoodle,clowder
78,0:21,r,-1,https://github.com/numpy/numpy/issues/8129,numpy,numpy
79,2:39,r,-1,https://github.com/pandas-dev/pandas/issues/18160,pandas-dev,pandas
80,0:22,r,-1,https://github.com/desihub/desispec/issues/158,desihub,desispec
81,1:10,r,-1,https://github.com/Alignak-monitoring-contrib/alignak-backend/issues/277,Alignak-monitoring-contrib,alignak-backend
82,1:59,r,-1,https://github.com/glomex/gcdt/issues/331,glomex,gcdt
83,0:49,r,-1,https://github.com/ansible/ansible/issues/25265,ansible,ansible
84,0:32,r,-1,https://github.com/pandas-dev/pandas/issues/19607,pandas-dev,pandas
85,9:46,r,-1,https://github.com/secdev/scapy/issues/1178,secdev,scapy
86,1:35,r,-1,https://github.com/cloudant/python-cloudant/issues/205,cloudant,python-cloudant
87,2:15,r,-1,https://github.com/nest/nest-simulator/issues/784,nest,nest-simulator
88,0:16,r,-1,https://github.com/sxn/notary/issues/7,sxn,notary
89,1:58,r,-1,https://github.com/Flexget/Flexget/issues/1301,Flexget,Flexget
90,0:47,r,-1,https://github.com/conan-io/conan/issues/2886,conan-io,conan
91,0:47,r,-1,https://github.com/UTNkar/moore/issues/146,UTNkar,moore
92,0:30,r,-1,https://github.com/capitalone/cloud-custodian/issues/2917,capitalone,cloud-custodian
93,0:25,r,-1,https://github.com/missionpinball/mpf/issues/510,missionpinball,mpf
94,11:12,g,7,https://github.com/pydata/xarray/issues/1520,pydata,xarray
95,0:40,r,-1,https://github.com/swcarpentry/amy/issues/1064,swcarpentry,amy
96,3:02,r,-1,https://github.com/ansible/ansible/issues/25582,ansible,ansible
97,0:20,r,-1,https://github.com/ansible/ansible/issues/23822,ansible,ansible
98,0:30,r,-1,https://github.com/allenai/allennlp/issues/2120,allenai,allennlp
99,2:30,g,5,https://github.com/ansible/ansible/issues/23948,ansible,ansible
